date,type,time_ny,note
2024-02-15,retail_sales,08:30,Census MARTS release dates
2024-02-16,PPI,08:30,BLS release archive
2024-02-16,opex,09:30,monthly; AM-settled index options settle at the open
2024-02-19,early_close,13:00,exchange holiday: CME Globex-only session
2024-02-29,PCE,08:30,"Personal Income and Outlays, January 2024"
2024-03-08,NFP,08:30,BLS release archive
2024-03-12,CPI,08:30,BLS release archive
2024-03-14,PPI,08:30,BLS release archive
2024-03-14,retail_sales,08:30,Census MARTS release dates
2024-03-15,opex,09:30,quad witching; AM-settled index options settle at the open
2024-03-20,FOMC,14:00,"scheduled meeting, statement 14:00"
2024-03-29,PCE,08:30,"Personal Income and Outlays, February 2024"
2024-04-05,NFP,08:30,BLS release archive
2024-04-10,CPI,08:30,BLS release archive
2024-04-11,PPI,08:30,BLS release archive
2024-04-15,retail_sales,08:30,Census MARTS release dates
2024-04-19,opex,09:30,monthly; AM-settled index options settle at the open
2024-04-25,GDP_advance,08:30,"Gross Domestic Product, First Quarter 2024 (Advance Estimate)"
2024-04-26,PCE,08:30,"Personal Income and Outlays, March 2024"
2024-05-01,FOMC,14:00,"scheduled meeting, statement 14:00"
2024-05-03,NFP,08:30,BLS release archive
2024-05-14,PPI,08:30,BLS release archive
2024-05-15,CPI,08:30,BLS release archive
2024-05-15,retail_sales,08:30,Census MARTS release dates
2024-05-17,opex,09:30,monthly; AM-settled index options settle at the open
2024-05-27,early_close,13:00,exchange holiday: CME Globex-only session
2024-05-31,PCE,08:30,"Personal Income and Outlays, April 2024"
2024-06-07,NFP,08:30,BLS release archive
2024-06-12,CPI,08:30,BLS release archive
2024-06-12,FOMC,14:00,"scheduled meeting, statement 14:00"
2024-06-13,PPI,08:30,BLS release archive
2024-06-18,retail_sales,08:30,Census MARTS release dates
2024-06-19,early_close,13:00,exchange holiday: CME Globex-only session
2024-06-21,opex,09:30,quad witching; AM-settled index options settle at the open
2024-06-28,PCE,08:30,"Personal Income and Outlays, May 2024"
2024-07-03,early_close,13:15,NYSE half day
2024-07-04,early_close,13:00,exchange holiday: CME Globex-only session
2024-07-05,NFP,08:30,BLS release archive
2024-07-11,CPI,08:30,BLS release archive
2024-07-12,PPI,08:30,BLS release archive
2024-07-16,retail_sales,08:30,Census MARTS release dates
2024-07-19,opex,09:30,monthly; AM-settled index options settle at the open
2024-07-25,GDP_advance,08:30,"Gross Domestic Product, Second Quarter 2024 (Advance Estimate)"
