Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
22,Entry short,2020-04-03 07:30,S|ORB|or:89.8|pd:42|on:topBreak|gap:-25|ent:close|risk:104.75|rr:0|n:1|h:10|m:30|dow:6,7556,1,15112,59,0.39,2,264,1.75,-30.5,-0.20,-1141,-4.56,66
23,Exit short,2020-04-08 08:20,SL,8155.5,1,16181.5,-131.5,-0.81,2,91,0.56,-130.5,-0.81,-1272.5,-5.09,18
23,Entry short,2020-04-08 06:50,S|ORB|or:54|pd:20|on:topBreak|gap:+75.3|ent:close|risk:64.25|rr:0|n:1|h:9|m:50|dow:4,8090.75,1,16181.5,-131.5,-0.81,2,91,0.56,-130.5,-0.81,-1272.5,-5.09,18
24,Exit short,2020-04-09 13:00,time,8241.75,1,16443,-42.5,-0.26,2,138,0.84,-124,-0.75,-1315,-5.26,71
24,Entry short,2020-04-09 07:05,S|ORB|or:89.5|pd:45|on:topBreak|gap:+72.5|ent:close|risk:105.75|rr:0|n:1|h:10|m:5|dow:5,8221.5,1,16443,-42.5,-0.26,2,138,0.84,-124,-0.75,-1315,-5.26,71
25,Exit long,2020-04-14 13:00,time,8677.25,1,17122,230.5,1.35,2,294,1.72,-39,-0.23,-1084.5,-4.34,75
25,Entry long,2020-04-14 06:45,L|ORB|or:82|pd:42|on:topBreak|gap:+170|ent:close|risk:104.25|rr:0|n:1|h:9|m:45|dow:3,8561,1,17122,230.5,1.35,2,294,1.72,-39,-0.23,-1084.5,-4.34,75
26,Exit short,2020-04-17 13:00,time,8808.75,1,17485,-134.5,-0.77,2,106,0.61,-170,-0.97,-1219,-4.88,63
26,Entry short,2020-04-17 07:45,S|ORB|or:107.5|pd:56|on:botBreak|gap:+104.5|ent:close|risk:129.25|rr:0|n:1|h:10|m:45|dow:6,8742.5,1,17485,-134.5,-0.77,2,106,0.61,-170,-0.97,-1219,-4.88,63
27,Exit short,2020-04-21 13:00,time,8432.5,1,17022.5,155.5,0.91,2,337.5,1.98,-11.5,-0.07,-1063.5,-4.25,66
27,Entry short,2020-04-21 07:30,S|ORB|or:113.5|pd:83|on:botBreak|gap:-81.5|ent:close|risk:140.75|rr:0|n:1|h:10|m:30|dow:3,8511.25,1,17022.5,155.5,0.91,2,337.5,1.98,-11.5,-0.07,-1063.5,-4.25,66
28,Exit long,2020-04-23 09:45,SL,8661,1,17554.5,-234.5,-1.34,2,18.5,0.11,-233.5,-1.33,-1298,-5.19,27
28,Entry long,2020-04-23 07:30,L|ORB|or:82.3|pd:50|on:topBreak|gap:+28|ent:close|risk:115.75|rr:0|n:1|h:10|m:30|dow:5,8777.25,1,17554.5,-234.5,-1.34,2,18.5,0.11,-233.5,-1.33,-1298,-5.19,27
29,Exit long,2020-05-05 12:35,SL,8894.25,1,17907.5,-121,-0.68,2,131,0.73,-120,-0.67,-1419,-5.68,69
29,Entry long,2020-05-05 06:50,L|ORB|or:47.8|pd:27|on:topBreak|gap:+89.3|ent:close|risk:59|rr:0|n:1|h:9|m:50|dow:3,8953.75,1,17907.5,-121,-0.68,2,131,0.73,-120,-0.67,-1419,-5.68,69
30,Exit short,2020-05-06 07:45,SL,9030.25,1,17890,-172.5,-0.96,2,18,0.10,-171.5,-0.96,-1591.5,-6.37,8
30,Entry short,2020-05-06 07:05,S|ORB|or:57.3|pd:42|on:topBreak|gap:+69.3|ent:close|risk:84.75|rr:0|n:1|h:10|m:5|dow:4,8945,1,17890,-172.5,-0.96,2,18,0.10,-171.5,-0.96,-1591.5,-6.37,8
31,Exit short,2020-05-07 08:45,SL,9108.25,1,18069,-149.5,-0.83,2,7,0.04,-148.5,-0.82,-1741,-6.96,12
31,Entry short,2020-05-07 07:45,S|ORB|or:49.8|pd:41|on:topBreak|gap:+114.8|ent:close|risk:73.25|rr:0|n:1|h:10|m:45|dow:5,9034.5,1,18069,-149.5,-0.83,2,7,0.04,-148.5,-0.82,-1741,-6.96,12
