date,entry_time,side,O,A,manip,ext,signal_t,target,be_level,stop,fill,entry,risk,exit_time,exit,reason,pnl,R,match,on_ratio
2023-10-25,2023-10-25 10:46:00-04:00,L,14651.25,20.267913898808406,down,14597.0,2023-10-25 10:40:00-04:00,14753.25,,14641.95,14660.5,14660.75,18.55,2023-10-25 10:51:00-04:00,14641.7,SL,-40.099999999998545,-1.0808625336926831,True,1.2029755579171095
2023-11-13,2023-11-13 10:06:00-05:00,L,15490.5,15.077222801289851,down,15478.5,2023-11-13 10:04:00-05:00,15539.0,,15495.8,15503.0,15503.25,7.2,2023-11-13 10:07:00-05:00,15495.55,SL,-17.400000000001455,-1.2083333333334343,True,0.7546391752577319
2024-02-09,2024-02-09 10:11:00-05:00,S,17940.25,16.830251258274927,up,17954.0,2024-02-09 10:02:00-05:00,17896.25,,17939.15,17932.0,17931.75,7.15,2024-02-09 10:14:00-05:00,17939.4,SL,-17.30000000000291,-1.2097902097904132,True,0.8748858447488584
2024-07-23,2024-07-23 10:11:00-04:00,S,20006.5,25.381013569261974,up,20024.0,2024-07-23 10:02:00-04:00,19933.25,,20020.85,20006.25,20006.0,14.6,2024-07-23 10:19:00-04:00,20021.1,SL,-32.19999999999709,-1.1027397260272975,True,1.1195445920303606
2024-08-21,2024-08-21 10:18:00-04:00,S,19879.5,16.956198959560105,up,19915.0,2024-08-21 10:15:00-04:00,19813.25,,19891.85,19878.75,19878.5,13.1,2024-08-21 10:19:00-04:00,19892.1,SL,-29.19999999999709,-1.1145038167937822,True,0.33075734157650694
2025-02-20,2025-02-20 10:07:00-05:00,L,22011.0,28.6501896814031,down,21950.75,2025-02-20 10:04:00-05:00,22213.5,,21977.4,22016.75,22017.0,39.35,2025-02-20 10:59:00-05:00,21977.15,SL,-81.69999999999709,-1.0381194409148295,True,0.5749049429657794
2025-07-10,2025-07-10 10:19:00-04:00,L,22960.0,22.129258361657527,down,22901.0,2025-07-10 10:18:00-04:00,23089.75,,22938.85,22964.0,22964.25,25.15,2025-07-10 10:20:00-04:00,22938.6,SL,-53.30000000000291,-1.059642147117354,True,0.5594405594405595
2025-08-15,2025-08-15 10:48:00-04:00,L,23803.75,24.836077614319944,down,23766.0,2025-08-15 10:02:00-04:00,23924.25,,23785.35,23808.5,23808.75,23.15,2025-08-15 11:39:00-04:00,23785.1,SL,-49.30000000000291,-1.0647948164147498,True,0.8111111111111111
2025-10-10,2025-10-10 10:25:00-04:00,S,25357.25,21.779307553691464,up,25371.25,2025-10-10 10:02:00-04:00,25293.75,,25357.95,25347.25,25347.0,10.7,2025-10-10 10:48:00-04:00,25358.2,SL,-24.400000000001455,-1.1401869158879185,True,0.8349900596421471
2025-11-13,2025-11-13 10:06:00-05:00,S,25382.0,45.76246818758924,up,25413.75,2025-11-13 10:02:00-05:00,25280.75,,25396.25,25377.0,25376.75,19.25,2025-11-13 10:07:00-05:00,25396.5,SL,-41.5,-1.077922077922078,False,1.4072259644825476
2026-02-04,2026-02-04 10:13:00-05:00,L,25196.75,56.86080915082721,down,25107.75,2026-02-04 10:08:00-05:00,25386.25,,25197.85,25229.25,25229.5,31.4,2026-02-04 10:14:00-05:00,25197.6,SL,-65.80000000000291,-1.047770700636989,True,0.831140350877193
2026-02-12,2026-02-12 10:06:00-05:00,L,25208.25,38.61283367240177,down,25178.25,2026-02-12 10:02:00-05:00,25393.75,,25205.05,25236.5,25236.75,31.45,2026-02-12 10:08:00-05:00,25204.8,SL,-65.90000000000146,-1.0476947535771297,True,0.7688172043010753
2026-02-19,2026-02-19 10:12:00-05:00,L,24880.25,41.607125249246685,down,24842.25,2026-02-19 10:02:00-05:00,24972.0,,24864.0,24882.0,24882.25,18.0,2026-02-19 10:21:00-05:00,24863.75,SL,-39.0,-1.0833333333333333,False,1.029940119760479
2026-03-13,2026-03-13 10:05:00-04:00,S,24728.0,44.16953104110983,up,24765.5,2026-03-13 10:03:00-04:00,24611.0,,24718.4,24700.5,24700.25,17.9,2026-03-13 10:06:00-04:00,24718.65,SL,-38.80000000000291,-1.0837988826816456,True,1.2486136783733826
2026-04-16,2026-04-16 10:18:00-04:00,L,26321.25,35.191987531379255,down,26288.75,2026-04-16 10:04:00-04:00,26453.5,,26316.7,26339.5,26339.75,22.8,2026-04-16 10:20:00-04:00,26316.45,SL,-48.599999999998545,-1.0657894736841786,True,0.4152173913043478
2026-09-14,2026-09-14 10:30:00-04:00,S,29003.25,37.68964008413791,up,29088.5,2026-09-14 10:26:00-04:00,28880.5,,29018.2,28995.25,28995.0,22.95,2026-09-14 10:34:00-04:00,29018.45,SL,-48.900000000001455,-1.0653594771242147,True,1.150561797752809
