family,side,entry_time,sweep_t,inv_t,pnl,R,sgn,sweep_delta,sweep_cum,sweep_div,entry_delta,stack,absorption,year
AMD1-1m,L,2019-09-26 09:37:00-04:00,2019-09-26 09:36:00-04:00,2019-09-26 09:37:00-04:00,-23.0,-1.15,1,-277.0,-951.0,0.030874325074244306,294.0,2.0,79.05882352941177,2019
AMD1-1m,S,2019-10-01 10:00:00-04:00,2019-10-01 09:37:00-04:00,2019-10-01 10:00:00-04:00,80.0,1.7777777777777777,-1,-361.0,-533.0,-0.026438589607371454,757.0,30.0,51.189189189189186,2019
AMD1-1m,S,2019-10-04 09:42:00-04:00,2019-10-04 09:31:00-04:00,2019-10-04 09:42:00-04:00,-44.0,-1.0731707317073171,-1,-916.0,-982.0,0.04633403411610015,78.0,1.0,34.90196078431372,2019
AMD1-1m,L,2019-10-16 09:33:00-04:00,2019-10-16 09:30:00-04:00,2019-10-16 09:33:00-04:00,-28.5,-1.1176470588235294,1,-406.0,-406.0,-0.026967691049375797,304.0,3.0,59.869565217391305,2019
AMD1-1m,S,2019-10-21 09:46:00-04:00,2019-10-21 09:36:00-04:00,2019-10-21 09:46:00-04:00,-45.0,-1.0714285714285714,-1,-867.0,-1759.0,-0.05690627954731202,290.0,2.0,61.4375,2019
AMD1-1m,S,2019-10-22 09:48:00-04:00,2019-10-22 09:30:00-04:00,2019-10-22 09:48:00-04:00,60.5,1.3595505617977528,-1,-382.0,-387.0,-0.07823976477668153,429.0,7.0,62.78,2019
AMD1-1m,S,2019-10-23 09:32:00-04:00,2019-10-23 09:30:00-04:00,2019-10-23 09:32:00-04:00,-37.0,-1.088235294117647,-1,-423.0,-423.0,-0.025225802475721773,292.0,3.0,66.32432432432432,2019
AMD1-1m,S,2019-10-24 09:31:00-04:00,2019-10-24 09:30:00-04:00,2019-10-24 09:31:00-04:00,-28.0,-1.12,-1,-474.0,-474.0,0.003993336708782477,166.0,1.0,88.875,2019
AMD1-1m,S,2019-11-04 09:44:00-05:00,2019-11-04 09:40:00-05:00,2019-11-04 09:44:00-05:00,34.5,1.5333333333333334,-1,-39.0,553.0,0.04781897898990292,714.0,2.0,110.0,2019
AMD1-1m,L,2019-11-05 09:50:00-05:00,2019-11-05 09:37:00-05:00,2019-11-05 09:50:00-05:00,-26.5,-1.127659574468085,1,-45.0,-694.0,-0.04481083843095585,169.0,0.0,108.75,2019
AMD1-1m,L,2019-11-11 09:47:00-05:00,2019-11-11 09:30:00-05:00,2019-11-11 09:47:00-05:00,25.5,0.6986301369863014,1,-245.0,-247.0,-0.029182724466409626,420.0,2.0,68.75,2019
AMD1-1m,L,2019-12-03 09:34:00-05:00,2019-12-03 09:30:00-05:00,2019-12-03 09:34:00-05:00,-65.0,-1.0483870967741935,1,-1024.0,-1024.0,0.02351219659014489,383.0,1.0,94.76470588235294,2019
AMD1-1m,S,2019-12-18 09:48:00-05:00,2019-12-18 09:30:00-05:00,2019-12-18 09:48:00-05:00,-26.5,-1.127659574468085,-1,-366.0,-366.0,-0.30014003966876346,400.0,4.0,86.92307692307692,2019
AMD1-1m,S,2019-12-19 09:36:00-05:00,2019-12-19 09:31:00-05:00,2019-12-19 09:36:00-05:00,-19.0,-1.1875,-1,-11.0,-479.0,-0.044812411146308816,240.0,2.0,67.53846153846153,2019
AMD1-1m,L,2020-01-07 09:58:00-05:00,2020-01-07 09:39:00-05:00,2020-01-07 09:58:00-05:00,24.0,0.5647058823529412,1,-934.0,-937.0,-0.008396868340543266,335.0,3.0,38.15151515151515,2020
AMD1-1m,S,2020-01-13 09:40:00-05:00,2020-01-13 09:31:00-05:00,2020-01-13 09:40:00-05:00,-31.5,-1.105263157894737,-1,120.0,-352.0,-0.06500065250250549,143.0,3.0,73.51851851851852,2020
AMD1-1m,S,2020-01-22 09:44:00-05:00,2020-01-22 09:42:00-05:00,2020-01-22 09:44:00-05:00,-17.0,-1.2142857142857142,-1,-277.0,-2351.0,-0.044087225523148095,279.0,2.0,94.05263157894737,2020
AMD1-1m,S,2020-01-29 09:38:00-05:00,2020-01-29 09:36:00-05:00,2020-01-29 09:38:00-05:00,105.0,3.888888888888889,-1,-552.0,-1464.0,-0.09727352899796876,340.0,1.0,82.08333333333333,2020
AMD1-1m,S,2020-02-04 09:31:00-05:00,2020-02-04 09:30:00-05:00,2020-02-04 09:31:00-05:00,-54.5,-1.058252427184466,-1,-1110.0,-1110.0,-0.17136527278669242,344.0,4.0,61.41463414634146,2020
AMD1-1m,L,2020-02-06 09:55:00-05:00,2020-02-06 09:35:00-05:00,2020-02-06 09:55:00-05:00,53.0,0.6883116883116883,1,-136.0,-1746.0,-0.01167800516557848,171.0,2.0,76.84,2020
