tf,pattern,side,cond,n,pts6,base_pts6,atr6,base_atr6,pts12,base_pts12,atr12,base_atr12,pts24,base_pts24,atr24,base_atr24,held,base_held,excess12,n_2019-2022,excess12_2019-2022,p_2019-2022,n_2023-2026,excess12_2023-2026,p_2023-2026,passes
5m,pin,bull,overnight,1295,-2.184749034749035,0.3051195889516767,-0.10390076528140628,0.009238518193110449,-3.6067567567567567,0.5120825275461702,-0.15298643390576028,0.018037808234740146,-8.107272727272727,1.3214749724837702,-0.3314916943067536,0.03736513906958876,0.22545454545454546,0.16858753313201424,-0.17102424214050044,607,-0.17202625995230877,0.9505055298732238,688,-0.1763528366102446,0.9705363845837031,False
5m,pin,bull,vwap2s,1111,-0.2346984698469847,0.3418951555317423,-0.04992969117968806,0.0030578607635757273,0.54005400540054,0.43525772107029587,-0.043305613269075706,0.0008582181239230475,2.004634146341463,1.2841808300772324,-0.0691906871223836,0.016523027366413753,0.27902439024390246,0.18080957213402865,-0.04416383139299875,518,-0.08363993785388997,0.7319930332360326,593,-0.012159206605036846,0.5405286313791753,False
5m,inside,bear,all,7020,0.4527777777777778,-0.3503596192269469,0.01735894522321711,-0.013717282266445887,0.06663105413105413,-0.5296366460427689,-0.007385802343616891,-0.024069470502996144,-0.0309237303132189,-1.3764061986730987,0.015365327619657016,-0.04619256292486076,0.14634577950805167,0.13182519493234873,0.01668366815937925,3445,-0.007640038662887188,0.5742497505234979,3575,0.04219686929864296,0.1347124663289254,False
5m,inside,bear,overnight,1806,1.687984496124031,-0.37584937387046935,0.031480467616978876,-0.012412374454833503,1.4633167220376522,-0.5168556128821751,0.040548840528973125,-0.02028626538951461,-0.9662566489361702,-1.3562959600546718,0.017514339500081088,-0.04212030601098073,0.1589095744680851,0.13367076051387505,0.06083510591848773,881,0.05898188656136127,0.2415037126056887,925,0.06342326623787684,0.20359014267499262,False
5m,inside,bear,vwap2s,1090,-0.7371559633027523,-0.4847357870947878,-0.04238038689287694,-0.008970113727828135,-1.2637614678899083,-0.5262693864378498,-0.09372577980449776,-0.00955163079469116,-3.4305851063829786,-1.3777412249597303,-0.15500833313794152,-0.02695416618735795,0.17127659574468085,0.14286228466634726,-0.08417414900980659,560,-0.19901082762046457,0.9512329081527516,530,0.03948248251989568,0.36711743823346155,False
5m,inside,bull,all,7238,-0.01958413926499033,0.35285289274339743,0.009608168332171643,0.013528954457473291,-0.344294003868472,0.5407843661201711,0.005716800776904227,0.023322131858067932,-0.13444406373136886,1.3875436865950683,0.0003390467039069968,0.04657737666275182,0.18228542059277025,0.16376657136762296,-0.017605331081163706,3504,0.01470316433989585,0.3562453833472701,3734,-0.048543984672042066,0.9015497781430646,False
5m,inside,bull,overnight,1406,0.3189900426742532,0.33885280584486294,0.01617645853978647,0.011425610373980054,-2.3079658605974394,0.5197109454565415,-0.09420007006308485,0.019908853403138593,-3.7232528041415014,1.3507572189653239,-0.1699658035104392,0.042296990740454676,0.17946505608283003,0.16616875235984296,-0.11410892346622345,692,-0.08803867779950629,0.8291751535999021,714,-0.14187461786543912,0.946416861164765,False
5m,inside,bull,vwap2s,961,-0.5028616024973985,0.4054606343390688,-0.08422583198535356,0.0035444416726224948,-3.1992715920915713,0.4528065118151349,-0.162608779731676,0.002275133115463908,-0.9672514619883041,1.3095677883023498,-0.08778018043948152,0.01824680129360491,0.23859649122807017,0.1775279973037958,-0.1648839128471399,475,-0.24106647106372409,0.969729285510056,486,-0.08890588622424919,0.7530790142721424,False
5m,3bar,bear,all,5735,-1.3612031386224934,-0.37165017736906086,-0.04418179345757392,-0.015073978427839016,-1.181386224934612,-0.5839152251074972,-0.021483659579665824,-0.0265303996135478,-1.6729980574142025,-1.437290458673077,-0.04243402449393383,-0.05187269140511583,0.4116123462119577,0.1312082770918419,0.0050467400338819746,2940,-0.023548557495212334,0.7131313537665772,2795,0.036912068750875916,0.19034265953070212,False
5m,3bar,bear,overnight,1457,-1.448009608785175,-0.37739884171167454,-0.01659403168267829,-0.012757795724099644,-2.2410775566231984,-0.5318350108131384,-0.004132783334602857,-0.021449755540764556,-3.125938281901585,-1.3962018673960386,-0.061695905243240895,-0.04652712357958076,0.41117597998331945,0.13505458322211525,0.0173169722061617,694,-0.04233359098616694,0.6877693266635605,763,0.06863923988873785,0.2059179899409736,False
5m,3bar,bear,vwap2s,373,-0.3941018766756032,-0.410101685569737,-0.0357509791458556,-0.0146188980174539,-1.4115281501340482,-0.44530793714429806,-0.13327420031075352,-0.019539202399916848,1.2707612456747406,-1.390910970804193,-0.11046870305667929,-0.04589095980464785,0.42214532871972316,0.1353499713602136,-0.11373499791083666,162,0.013548343219695967,0.47151495505163055,211,-0.20811456314379628,0.9010459713312796,False
5m,3bar,bull,all,5905,1.3102878916172735,0.3629318083530165,0.014823346684142421,0.014692816958672236,2.4321761219305675,0.5552489852460125,0.05951486860390817,0.024909562899338093,2.1153846153846154,1.4326552688665855,0.052351435244571844,0.050587308485021756,0.4705512471180046,0.16410146909440487,0.03460530570457008,2995,-0.007652270142471735,0.5726324279196845,2910,0.07688271523471314,0.03048281705110271,False
